TradeID,ExecutionTime,Quantity,Price,Counterparty,Instrument,TradeSide,Trader,Desk,ExecutionVenue,qty_zscore,price_dev_pct,party_freq_1hr,qty_zscore_scaled,price_dev_pct_scaled,party_freq_1hr_scaled,risk_score,anomaly_score,is_anomaly,severity_level,anomaly_type,flagged_reason
T0810,2026-07-23 01:50:49,2885.94,410.466,Citigroup,MSFT,BUY,Alice Johnson,Equities,CBOE,5.91068408583144,0.02248534086503703,11,5.9106840858314404,0.6626587703856844,0.7641615901362532,5.6710192365920875,1.0,True,HIGH,SIZE_ANOMALY,5.91x normal quantity for MSFT
T0003,2026-07-22 09:33:52,27421422.38,0.0067,Goldman Sachs,JPYUSD,SELL,Jane Doe,FX,CBOE,6.820786584082944,0.003169293071573326,2,6.820786584082945,-0.2432256820019783,-2.44510313745417,3.3292654215546498,0.9866,True,HIGH,SIZE_ANOMALY,6.82x normal quantity for JPYUSD
T0292,2026-07-22 15:09:49,38185122.76,1.2707,Citigroup,GBPUSD,SELL,Alice Johnson,FX,NASDAQ,8.430406816530883,0.0010255662132097147,6,8.430406816530885,-0.3437622333670345,-1.018763258525093,5.172470396476316,0.9506,True,HIGH,SIZE_ANOMALY,8.43x normal quantity for GBPUSD
T0017,2026-07-22 09:50:17,2722090.21,0.0075,Citigroup,JPYUSD,SELL,John Smith,FX,CBOE,-0.17383234796301159,0.11585526894973128,1,-0.17383234796301164,5.041523798929477,-2.8016881071864392,0.404289519870124,0.944,True,HIGH,PRICE_ANOMALY,Price 11.6% away from average
T0860,2026-07-23 02:50:14,1000000.0,0.9689,Citigroup,EURUSD,SELL,Bob Wilson,FX,CBOE,-0.6121418841864044,0.11772982116318902,12,-0.6121418841864045,5.129436591624827,1.1207465598685225,3.880175700023518,0.9361,True,HIGH,PRICE_ANOMALY,Price 11.8% away from average
T0830,2026-07-23 02:12:36,251.66,133.101,Citigroup,AAPL,SELL,John Smith,Equities,CBOE,-0.2416794707828964,0.11471967755469355,15,-0.24167947078289645,4.988266807642781,2.19050146906533,4.631087691579567,0.9238,True,HIGH,PRICE_ANOMALY,Price 11.5% away from average
T0022,2026-07-22 09:57:38,175.71,170.0817,Citigroup,AAPL,SELL,John Smith,Equities,CME,-0.4506565920902128,0.13124606289994734,2,-0.4506565920902129,5.763321606559706,-2.44510313745417,0.8196364557060694,0.9051,True,HIGH,PRICE_ANOMALY,Price 13.1% away from average
T0191,2026-07-22 13:13:47,3858769.04,0.0075,Citigroup,JPYUSD,BUY,Bob Wilson,FX,NYSE,0.14806442273715942,0.11585526894973128,5,0.14806442273715942,5.041523798929477,-1.3753482282573621,1.5939823497797831,0.8956,True,HIGH,PRICE_ANOMALY,Price 11.6% away from average
T0174,2026-07-22 12:53:16,237.88,474.7534,JPMorgan Chase,MSFT,SELL,Alice Johnson,Equities,NYSE,-0.276615736394601,0.13061351725639814,14,-0.27661573639460113,5.733656466462534,1.8339164993330608,4.34983034973476,0.892,True,HIGH,PRICE_ANOMALY,Price 13.1% away from average
T0966,2026-07-23 05:07:02,34834383.07,1.273,Citigroup,GBPUSD,SELL,Alice Johnson,FX,CME,7.625501332872656,0.0028374484846273203,6,7.625501332872657,-0.25878853705067595,-1.018763258525093,4.851051767694451,0.8918,True,HIGH,SIZE_ANOMALY,7.63x normal quantity for GBPUSD
T0711,2026-07-22 23:44:10,3527532.75,0.9387,Morgan Stanley,EURUSD,BUY,Jane Doe,FX,CME,0.06387322646613375,0.14522962444616114,7,0.06387322646613373,6.419122996635349,-0.6621782887928237,2.1691181779203017,0.889,True,HIGH,PRICE_ANOMALY,Price 14.5% away from average
T0929,2026-07-23 04:19:38,3549772.1,1.4515,UBS,GBPUSD,BUY,John Smith,FX,NYSE,0.11039802627490915,0.14345526824464783,9,0.11039802627490913,6.335909198805938,0.05099165067171474,2.7871957909833576,0.8855,True,HIGH,PRICE_ANOMALY,Price 14.3% away from average
